A2BBX6,tau,tau_prob,tau_pred,t,t_pred,A,B1,B2,X,rA,rB1,rB2,rX,nA,nB1,nB2,nX,icsd_label
Ba2MoNiO6,3.6413037227051364,0.7653059611654163,1,1.043329123221327,1,Ba,Mo,Ni,O,1.61,0.59,0.69,1.4,2,6,2,-2,1.0
Pb2FeMoO6,3.641909952436608,0.7650977547589056,1,0.9801144353137276,1,Pb,Fe,Mo,O,1.49,0.78,0.59,1.4,2,2,6,-2,1.0
Pb2UZnO6,3.6421980219656542,0.7649987687616768,1,0.9571609356576684,1,Pb,U,Zn,O,1.49,0.73,0.74,1.4,2,6,2,-2,1.0
K2FeLiF6,3.6468391914060487,0.7633995353419031,1,1.0332630455714862,1,K,Fe,Li,F,1.64,0.645,0.76,1.33,1,3,1,-1,1.0
Ba2EuMoO6,3.648329169217056,0.7628843522528485,1,0.9335050049875034,1,Ba,Eu,Mo,O,1.61,1.17,0.59,1.4,2,2,6,-2,1.0
K2LiVF6,3.6518633258945568,0.7616589177709729,1,1.0345355370069191,1,K,Li,V,F,1.64,0.76,0.64,1.33,1,1,3,-1,1.0
Pb2CoWO6,3.65194608352698,0.7616301643156066,1,0.9860258613409516,1,Pb,Co,W,O,1.49,0.745,0.6,1.4,2,2,6,-2,1.0
Pb2SbScO6,3.65194608352698,0.7616301643156066,1,0.9860258613409516,1,Pb,Sb,Sc,O,1.49,0.6,0.745,1.4,2,5,3,-2,1.0
Cs2CrLiF6,3.652875455522484,0.7613070793248008,1,1.125062090512425,-1,Cs,Cr,Li,F,1.88,0.615,0.76,1.33,1,3,1,-1,1.0
Pb2WZnO6,3.654445174369056,0.7607606250210055,1,0.9872167138304936,1,Pb,W,Zn,O,1.49,0.6,0.74,1.4,2,6,2,-2,1.0
Pb2CdReO6,3.6548317396025487,0.7606259064372093,1,0.950483068664708,1,Pb,Cd,Re,O,1.49,0.95,0.55,1.4,2,2,6,-2,1.0
Ba2MgReO6,3.655132679251982,0.7605209884101707,1,1.0458925854405443,1,Ba,Mg,Re,O,1.61,0.72,0.55,1.4,2,2,6,-2,1.0
